text,department
all the schools are down. i used to go to the school Le normalien. I dont have a husband anymore please help me ,Housing
wild animal spotted in colony,Animal Control
teacher absent regularly,Education
Timing issue,Sanitation
"About 12,000 patients have been airlifted out so far but large areas remain unvisited, and sanitation problems persist.",Health
Can we have message about the up coming Hurricane? How is it about Port-au- Prince. ,Environment
It’s been so long like one month but they did not provide good road here kindly check and resolve the issue,Roads
Hello We need aid in the area of Destra Pemiyen because we were hit hard by the catastrophe just like Leogane was torn apart. Please do this for us. ,Housing
"In early February, shortly after Islamist rebels attacked a local military outpost, soldiers allegedly detained a 43-year-old Tuareg man at a checkpoint.",Safety
"Transportation by air, using cargo space donated by WFP, continued from Maputo to Beira of reinstallation kit items and all goods are scheduled to be in the Beira warehouses ready for distribution by 14 May.",Transport
"Recently BBMP (Bruhat Bengaluru Mahanagara Palike) has put concrete road for 3rd main, 1st cross, Maruthinagara, Yelahanka. But the height of one of the BWSSB (Bangalore Water Supply and Sewerage Board) chamber which is of less height is not corrected by BWSSB authorities. While constructing that chamber for drainage system itself BWSSB should have constructed the same in correct height. Now because of less height, rain water as well as other water is filled simply there in that dig. Please increase the height of this chamber to the road level or little more so that this improper infrastructure can be corrected. Please take this as high priority and do the needful at the earliest because this really causes difficulty for the people in this area.",Health
Drain water over flow,Roads
"Swimming Pool in Splendor Apartment on Hosur Road, Adugodi, is not getting cleaned regularly. It is becoming a breeding ground for mosquitoes, spreading deseases, which is a risk to public health for people living in the neighborhood. Please penalize them and ask them to either remove the swimming pool or install a pump to empty and clean it regularly. Thanks.",Health
Severe water issue,Water
"Heavy rain across much of southern China over the last week has killed at least 199 people and left 123 missing, as rivers broke their banks and landslides severed road and rail links, the Ministry of Civil Affairs said.",Transport
"Hi Team,

Could you please address this issue.people are dumping garbage in vacant land near my house, please address this issue.

Regards
Raj",Sanitation
"Flights getting cancelled due to #frankenstorm. East coast over reacting to the storm. It's only Category 1 peopleWent to the pharmacy to pick some last minute stuff and the condom isle was as empty as the water isle..so THATs what you do during a stormPersonal storm shelter all to myself lol _ http://t.co/VlLagK90Chipotle is closed. The bar at Bryant park is closed. I'm leaving this damn city. #ThanksSandyShe huffed and she puffed and she blew my house down! #sandy #idareyouDude im actually terrified of this storm but im making the best of it ____@Dave_Mallet: #Hoboken hurricane survival kit Kettle, Jamo, 30 pack, solos. Sandy were ready for ya Bring it on! We got this!Staying with Brandon during the storm _ lol we're gunna kill each other _Before the storm. @MTA Subway - Houston St (1) http://t.co/rvnVOSnVLeg day before Sandy hits. (@Life Health &amp; Fitness) http://t.co/H25uZPhgExcites to spend these stormy times with my second fam!! @beraardesco @blairberardesco ____",Environment
Rajkalve Has been Blocked due to Waste lot of Smell & lot of Insects,Health
ofyaesman I am fine because I live on the capital (Santiago) :-) thanks for asking ^^,Transport
"Everytime there is a function at  Aastika samaj, people park 2 & 4 wheelers hapazardly on 8main causing inconvenience to vehicle movement on this busy bus route. please tow away unauthorised vehicles parked and ease traffic movement",Roads
"Don't send messages anymore, my .. is stolen, Haiti is broken and fighting ",Safety
Application pending 2 weeks,Municipal
"The two cyclones which hit southeastern Africa produced heavy rains and strong winds throughout the region, causing overflowing rivers and pressure on dams, and resulting in widespread flooding in large areas of Mozambique, Swaziland, Botswana, Zimbabwe, and South Africa.",Environment
college fees not refunded,Education
The army and air force are using boats and helicopters to rescue thousands of people who are marooned.,Safety
Streetlight not working,Electricity
"Full of potholes near flyover which needs to be repaired immly, before any major accident happens",Roads
"Complaint from fellow dog lover : people drinking there at Janatha Bazar side - and have called the cops few times, in the month of October I have called the cops thrice and last time when I spoke to the Hoysala cops I did express that I was very unhappy with the response etc and told him women and senior citizens walks about there and this is not acceptable. The women and walkers are very concerned and this continuance of rowdies openly drinking here, hitting dogs is not acceptable . One gentle old dog was hot so badly that they broke his spine. Much money spent on treating him and He is a shelter . They will start attacking people also. The police esp Hoysala corporator /nodal officer and health officer should take immediate cognizance to stop this. 
Thank you",Safety
Can you send help for my family/home?,Housing
"I can arrange shelter shelter, i live out in the rain, i need one. ",Housing
Thousands of flood victims in wahi,Environment
In road street light from past 6 month not been repaired,Electricity
RT earshapedspher: home in Santiago. Wow! what a giant effing mess. But I have a place to sleep and good friends who love me and wooh! ..,Housing
"Since the earthquake centered on Wenchuan County, Sichuan Province, 84,017 survivors had been rescued from the debris, more than 2.04 million injured hospitalized and 15.1 million people relocated to safe areas.",Housing
From 3phase goes to 1 phase regularly. Poles are need to be charged.,Electricity
"I am writing this complaint on behalf of me and residents staying in G8 street, Jogupalya, Ulsoor.
The garbage collecting vechicle doesn't comes daily and not on time. The vehicle comes 3 to 4 times a week and that too not following particular time . And in these short visit also, he refuses to accept waste many of the times by saying dry waste will be collected on another day but he says same again and again. Last 4 days i am keeping napkins, diaper at home and every other day people are refusing to accept the dry waste. Some of the days they say that they will come another trip but they never came. I can see many people in my street are struggling to find the garbage collecting vehicle. Please enquire the residents and take an action. Or please keep a Garbage box at some place so that we will keep the garbages",Sanitation
"The Cauvery pipe is broken due to Jio cable digging, we are facing lot of water issue. Request you to please help.",Electricity
Food interventions to the vulnerable households in these areas have dropped following the collapsed bridge connecting southern Sudan and Kenya.,Transport
Middle school road in V.V.Puram was dug up for installing new drainage pipes.  The roads are not repaired after the installation of new drainage pipes. The road are covered with thick layer of sand and dust. We are facings health issues due to this. Please fix the road asap,Roads
It is believed to have been caused by a fire as a result of an electrical fault.,Safety
Potholes in front of pk homeneeds,Roads
"Flooding is an annual occurrence in Thailand, most of which lies in the drainage basin of the Chao Phraya River flowing from the confluence of the Ping and Nan rivers in the north.",Environment
Urgent certificate correction needed,Municipal
"I have a member with injuries wiht me, we cannot help that person, since we've lost everything. please help.",Health
"In such crises, on-the-spot treatment is especially important for older people who have chronic ailments made worse by stress, poor food and sleeping outdoors.",Health
"23 MARCH 2012 - From 1 January to 11 March (epidemiologic week 10), outbreaks of meningococcal disease has been reported in 15 districts in Benin, Burkina Faso, Chad, Côte d'Ivoire and Ghana (see table below1).",Health
The children who are in my hands does not infect Pneumonia was through this that I had taken ,Health
"Sarjapur road, gaytri layout, kasavanahalli road has been dug and due to rain, it has become impossible to walk and drive vehicle on this road, please make a proper road here, there are PGs apartment on this road.",Roads
"The Communication Development & Motivation Organization (CDMO) sent radiologists, plastic surgeons and anaesthetists to Abbottabad, NWFP.",Health
"I would like to have informations about the cylone saison for this year (2010), thanks. ",Environment
cockroach infestation in market,Animal Control
Swiggy boys are parking here and making gatherings and doing nuisance in the dark.,Electricity
stray dog attacked my child,Animal Control
"Likewise, it is possible that some locations near, but not within, the shaded region will be affected by dryness and erratic seasonal rains.",Environment
The cargo was off-loaded onto trucks for the day-long drive by convoy to Dadaab refugee camp near the Kenya-Somalia border.,Water
"She imposed a ban on foreign trips by ministers and officials, ordered strict monitoring of victims' needs and punishment for anyone found stealing relief goods.",Safety
Hello Radio One ! I see people selling things providing by international organisation. ,Safety
SurfAid emergency medical teams are circumnavigating the earthquake affected island of Nias in North Sumatera offering immediate medical assistance to earthquake survivors and conducting assessments of the damage.,Health
school closed for no reason,Education
"The street light near my home is getting sparks , when ever it is raining we are getting sparks ,the street light is not working from past few  months ,you can check the history too ,how many times i have complain that,Kindly look into this situation as soon as possible, as it is very danger to us who is living near by this electric wires., Evn the switch is having sparks when ever we are going to put the light",Electricity
midday meal not provided,Education
"Hola Hospital, used as a referral hospital by surrounding districts, was cut off and has already cost some lives and some manyattas remain marooned by flood waters.",Housing
"Street light is not working. Land mark : Near Kenny English school. Please refer attached image for pole number.
Contact Name : Naveen
Number : 98806 09192",Electricity
Fire in Concepcion - firefighters don't have enough water to put out the flames #chile #terremotoenchile,Water
How to check application status,Municipal
A community health worker in Kibera who did not want to be named said water samples from the area sent to the Government Chemist tested positive for the cholera bacteria.,Water
Require a public toilet near esteem mall bus stop,Sanitation
Street light issue for long time,Electricity
"I need Food, wather and alementary product. I need help. ",Water
dead animal on road,Animal Control
Always Sewage Lines are leaking infront of Diya School,Health
The water has been leaking and going to the drainage unattended.Kindly address the same on priority,Water
The vacant plot in the 19th main HBR layout is accumulating garbage and housing debris and is a breeding ground for mosquitos.Kindly help do the needful to clear the waste and debris as it poses serious health issues,Sanitation
Bhadrak District of Orissa experienced the first wave of floods on the 1st of August 2003 due to heavy rainfall in the upper catchment areas.,Environment
"Street light isn't working in 6th cross Road , Neeladri Nagar, Electronic city phase -01",Electricity
The aid effort has picked up steam in recent days after a difficult start due to a shortage of helicopters needed to reach remote mountain towns and roads blocked by landslides.,Transport
By now people injured during the earthquake have received emergency surgical treatment from the ICRC and other humanitarian organizations.,Health
"In January 500 families received emergency food items, 1000 waterproof tarpaulins were distributed, 2000 locally designed room heaters were distributed along with blankets and bedding for 2000 families.",Housing
"These supplies included polythene sheeting and tarpaulin, 10,000 bags of saline, anti-malaria drugs, rice and high energy biscuits, blankets, jerrycans, 130MT of bleaching powder and 10 million chlorine tablets.",Housing
"No streetlights from brigade courtyard to isro quarters in hmt area, jalahalli. there is a dangerous traffic circle near hmt school without any reflectors . action needed immediately",Electricity
school closed for no reason,Education
"DAKAR, 21 February (IRIN) - Swarms of locusts have invaded western Guinea from neighbouring Senegal and Guinea-Bissau and are devouring the foliage of flowering trees, threatening the region's honey production, agricultural experts told IRIN.",Transport
Road in front of Radisson hotel is completely damaged.,Roads
"Once these catch fire, peat bogs can burn for years.",Safety
"The members of the Council reiterated their serious concern over the rapidly deteriorating humanitarian situation in the country, and expressed deep concern at the increased terrorist threat in the north due to the presence among the rebels of members of the terrorist group Al-Qaida in the Islamic Maghreb and extremist elements.",Safety
"Street Lights Not working in Kanakadasa Road and Kempanna Road in Keshava Nagar, Kacharakanahalli since a very long time. Women and Children are not able to walk out after sunset due to darkness",Electricity
"In the most affected areas, the hardest hit household lost 90 per cent of their first season crops, while a prolonged dry spell has withered many crops planted in the delayed second season in the fields.",Environment
rat infestation in building,Animal Control
"On Monday, hungry mobs attacked relief teams and looted trains carrying aid, forcing police to fire in the air to disperse an angry crowd at Nadia district, 150 km (95 miles) north of Calcutta.",Transport
Ration card correction pending,Municipal
"There was no intimation by the beacon that there will no power in Banjara layout , there is no electricity from 10 AM . 

Questions why are we disrupting power simultaneously for hours together like right now there is no power for more than 8 hours 

Am I living in a Bangalore or a Stone age village ??",Electricity
Dear Friend the population of Delmas 4 are hungry and almost die please make someting to them or tell them how to find a card to have acces with food in OJPD ,Transport
Help needed for welfare scheme,Municipal
"Coho apartment, a commercial PG setup located in Sri Raghavendra Swamy Orchard Layout, 4th cross, Basapura is throwing garbage right on the road. BBMP garbage is not clearing it as they say it is not segregated. Please solve this problem.",Sanitation
"The Indian army, which is fighting a two decade-old separatist insurgency in the disputed border state, has been spearheading relief operations by clearing main supply roads, restoring telecommunication links, evacuating residents, establishing relief camps and distributing aid.",Transport
"The situation has turned for worse in Anjaw, Lohit, Changlang, Dibang Valley, East Siang and Upper Siang districts of the state with all the major rivers and their tributaries in spate and flowing above the red mark.",Environment
"Bridges, roads, schools, health facilities, water supply and sanitation systems in Swat Valley - which were already suffering from the effects of military conflict over the last two years - are severely affected.",Transport
"Hi 

As a citizen i would request the concerned department to put a proper road for belathur as there are many school  buses using this road ,no proper roads or no proper water outlet to remove the rainwater stagnated.Road is in such a horrible condition.please do the needful for  the people's betterment.Many school students go by walk on that road only. Not uploading pictures as it is required to be seen in person to experience walking in that road.",Roads
no blackboard in classroom,Education
"Authorities issued new flood alerts and appealed to residents to stay indoors as the Mumbai Meteorological Department predicted ""heavy rainfall"" in the next 48 hours in Maharashtra and adjoining states.",Environment
"Incidences of malaria, diarrhea, and upper respiratory infections have increased in flood-stricken areas, although a recent outbreak of hemorrhagic fever among people and livestock is subsiding.",Environment
"Japan's contribution of nearly US$ 38 million towards IOM operations this year is a testament to a robust and growing partnership in response to global humanitarian and peace building activities as well as the migration challenges facing Japan including migrant integration, human trafficking and refugee resettlement, IOM Director General William Lacy Swing says.",Transport
stray dog attacked my child,Animal Control
"Continuous water leakage from many days, as this problem persists from many years yet no permanent solution found.",Water
"CRS will purchase and distribute relief items and emergency shelter materials, distribute 1,500 metric tons of Title II emergency food assistance and undertake trauma counseling for three months.",Health
"Other than my house every other house has power supply. This is not the first time this has happened. Previously even after correction there is a lot more power cuts. We don't have power since morning 7. We have two old people living and they aren't able to cope without electricity. besides there are students and young kids, please do the needful.",Electricity
"Apartment number 193 on the 6th main defence colony , near 4th cross has completely blocked the pavement by making roundels around the trees in front of the apartment this pedestrians are forced to walk on the road . This a hazard for the pedestrians and nuisance for the traffic. Kindly have them clear the roundels .",Roads
Just lookin ' out for my New Yorkers .. .. . @Hurricane Sandy http : //t.co/jvHC5Biw,Environment
"Authorities warned that coastal areas could be particularly dangerous as tides are affected by the current ""supermoon"" -- a rare astrological event in which the moon appears brighter and larger.",Environment
Tornadoes are violently rotating storms of small diameter produced in a severe thunderstorm.,Environment
"Luckily we haven't had any major outbreaks yet, but emergeny responses are being prepared,"" said Seija Tyrninoksa, head of the International Federation of Red Cross and Red Crescent office.",Health
"According to details, strong winds blowing in the town since yesterday (Monday) destroyed walls of Mama Khiar Jan Football stadium, Kutcha houses.",Housing
chemical dumping in lake,Environment
"I need help rescuing someone under the rubble at the Caraibean University, Delmas 29 #5.",Housing
Healthcare service slow,Health
There are illegal parking sheds are constructed by builder post the approval from BBMP and fire deptt. People also have constructed illegal projections in balcony and projections. this will be hindrance for the fire evacuation.,Safety
"Garbage accumulated and kept for more than 3 days. It is causing mosquitoes to breed. The sweeper is a regular trouble maker - spitting pan near our compound, placing broom in front of our entrance, accumulating garbage often right in front - which stays for days and days.",Sanitation
"I am in Thomassin number 32, in the area named Pyron. I would like to have some water. Thank God we are fine, but we desperately need water. Thanks",Water
Despite the hurricane .. .doodie calls . #Sandy #nyc #zoneb @East Village http : //t.co/NMG6loM9,Environment
"Vehicle no : KA25HE6313
Date : 30 June 2022
Time : 10.30 am
Location : Turahalli 560061
Violation : no helmet",Roads
"My house is destroyed I have no work, where can I find work, I'm a professor",Housing
Garbage getting dumped in the empty ground also the BBMP cleaner s do not carry the dump when they are assigned to clean.. instead they clear from the front side and dump everything in same ground behind.. this is happening quite a while now.. and they won't respect residents if people ask them from stop doing it,Sanitation
Ward officials not acting on Collapse of of storm drain cover complaint,Health
"Cyclones Eline and Gloria killed 150 people as rivers burst their banks, flooding homes and small farms and triggering mudslides.",Environment
"Child needs food, water, medical care, etc.",Water
"Hello,

I don't think there is a proper garbage disposal system for the people living around, they are simply throwing anything and everything on road side. In fact now they started dumping chicken waste from some nearby shop, in this period of corona, bird flue its unbearable headache for the people living next to it. There is around 4-5 smaller apartments here and more than 100 families are living, please take action.",Sanitation
new flood in jaffar abad after damaged Tori band,Environment
"Good evening to the reader of this message. I would like to know where there is food distribution because we are at Christ Roi Street, at the intersection/entry of Nazon. No one here has tents, food. ",Housing
Public urination,Sanitation
stray dog biting people,Animal Control
Public urination,Sanitation
Government troops and the Tigers have blamed each other for the execution-style killings.,Transport
"Exhausted men and women, holding injured children, sit on the roadside beseeching passing cars for lifts on a road partially blocked by the debris of houses and shops.",Transport
Welfare payment pending,Municipal
"@NYGovCuomo: The NY State Canal system is closed to navigation effective immediately #Sandy‚àö√ÜThe other green things I'm burning during the storm _ @diptyqueparis moss, frankincense and @chateau jaguar http://t.co/Ic55JQWC",Transport
"PARIS - International rescue teams were rushing to Japan Sunday after a 8.9-magnitude earthquake and tsunami left more than 1,000 dead, at least 10,000 missing and seriously damaged a nuclear power plant.",Safety
"No street light from 2 years, even after complaints on issue. People face difficult at night times without street lights.please make sure to get light as soon as possible",Electricity
"non-perishable , any pet food as well , hygiene products , water , baby supplies",Health
"Please,I need the phone number the civil protection of nippes, Baraderes IS floods by the rain and wind. ",Environment
I don't have a car however I can help distribute water and clothing .,Water
"The area is not safe for pedestrians and smaller vehicles as the area is still experiencing heavy rainfall and farther upstream the rivers are still full of debris, which could easily be swept downstream with more rain.",Transport
school toilet not working,Education
"The Government of Indonesia is already stretched from various natural disasters, including the imminent eruption of Mt Merapi, and has limited resources to respond to this emergency. He said atrocious weather in the north of the country could increase the chances of pneumonia and polluted water supplies increased the risk of waterborne diseases. The quakes flattened hundreds of houses, cracked more than 1,000 roads and triggered 11 fires, police and municipal officials said. KATHMANDU, Aug 22 (AFP) - Police and soldiers have reached a remote Nepalese village where up to 100 people are feared buried under a mudslide triggered by lashing monsoon rains, state radio said Thursday. Chinese Premier Wen Jiabao ordered rescuers to remove barriers and open up roads to the epicenter before 12 p.m. Tuesday after a strong earthquake jolted Southwest China's Sichuan Province Monday afternoon. When the weather worsens and wet weather begins, it is going to prove impossible to pass, he warned, adding that in the winter, bulldozers would be needed to pull the trucks out of the snow.",Water
"If you happen to be in Santiago Chile during the aftershocks, why not try some comfort food at my safe home?",Housing
I have raised a complaint regarding drainage closure but it has been delayed . Mosquitoes and cockroaches has been increased. Last time I am suffered from dengue so I am worried lot and health inspector Guruprasad responded and arranged for cleaning but after that the drainage has been not closed so again the drainage problem created . Please close the drainage asap .,Health
I woul like to know if aide is only available in pap as the provinces where badly hit as well,Transport
stray dog attacked my child,Animal Control
principal misbehaving with students,Education
WFP launches proposal to improve Djibouti Port: WFP has launched a special operations proposal for infrastructural improvements at Djibouti Port.,Transport
I have no tent to sleep in. Help me plese. Call me at this number to give me the tent. ,Housing
"Now we better control and fight bushfires, allowing a better protection of the village pastures thus ensuring availability of feed for our animals until the rainy season.""",Safety
WE NEED TENTS AND SPRAY AGAINST MOSQUITOES ,Housing
my friends i am a student. I was in Port au Prince with my aunt. She was my only hope. The house fell on her. See what you can do for me.,Housing
Form help,Electricity
I'm on the road with family and children. I don't have a home I sleeping near the Adventist Hospital Diquini in Carefour my house is destroyed please help me.,Housing
"Their home located in Dakshinkali, an agricultural region on the ridgeline of the high hills just outside of Kathmandu City, was completely destroyed by the earthquake, and everything they owned is now gone.",Housing
The railway authorities could not assure the time of restarting rail services.,Transport
monkey menace in colony,Animal Control
We need water at dampus. Please help. ,Water
Bus service still not proper,Transport
"Kormangla infront of Forum mall is one of the posh areas in bangalore.Entire traffic travelling from Whitefield to dairy circle take this route.The entire route has lot of potholes and roads are not uniform.Few locals say that they had dug holes for some pipeline construction 2 years back and
 later filled them  with trash and never took initiative to uniform the roads again.The entire roads has a lot of pathcges ups and downs and it becomes very difficult for people to drive leading to traffic jams and unsafe roads.",Roads
teacher absent regularly,Education
"Since the bombings, there have been violent demonstrations in various locations in Pakistan, forcing our expatriate staff to withdraw from Quetta and Peshawar to Islamabad.",Safety
Riding on pavement and parking on footpath infront of no parking board,Roads
"This spot is right at the entrance of Sarvabhowma Nagar surrounded by industries and residential building. There is some open land whose owner is unknown. People started throwing garbage here, now men stop by to urinate often.",Sanitation
Application status still unchanged,Municipal
Frequent power cuts,Electricity
Pavements adjoining Kanakpura road from Sarakki signal to H M Tambourine is in a very bad shape for pedestrians to walk and  many senior citizens have fallen several times. Two wheeler riders make the condition more difficult by driving on foothpaths and confronting them often turns abusive. All the roads near sarakki signal has terrible foothpaths. Foothpaths is also being used as a parking lot making it extremely difficult to walk.,Roads
Happy we could partner up in the Rockaways tomorrow  @SweeteryNYC : @ChaseNews Would love 2 b a part of feeding NEw Yorkers #freefood #sandy,Environment
"The report cited an opposition spokesman, Mohammad Ashraf Nadim, who said most of the victims were children and the elderly.",Safety
Though it's clearly mentioned that should not dump garbage if it is done 500rs fine..but still people will not give a look at it.,Sanitation
"Im in pain. While the last aftershock i fell on my hips and im bleeing. I would like some help please, thank you",Health
Pls can you clear the garbage which is on thé footpath and road outside Lalbagh gates and can you clear the trucks there which park through the night and hide or create this garbage,Sanitation
"A small construction is built on the footpath as a permanent structure being constructed acquiring the road space as well. Going forward there will unwanted parking on the road and hindrance to the walkers. Please get this  removed. 

It's near Liberty square Apartment 80 feet Road gubbalala. Near KSIT college.",Housing
principal misbehaving with students,Education
Can you send tents and food for people in Carrefour Feuilles? ,Housing
"Jayanagar 8th block which was a residential area is now falling prey to commercial activities, the area which was peaceful even during the day now is becoming the commercial hub, a 6 storied commercial building is being built with no proper parking space for 4 wheelers and a community hall (no parking space) is being built, how can government turn a residential area into a commercial area even after seeing the fate of Indiranagar!!. The area which was silent once now echoes with the noises of generators from these commercial buildings",Housing
"Vendors eatery's gutka and cigarette sellers.
Tender coconut etc.
Two vendors have parked there Maruti Omni vans on the main road imagine the confidence of a road side vendor can he do it with out the support of the authorities and why do citizens have to complain and get the JOB done hundreds of officials must be communicating on the same road.
When are we going to wake up.??",Roads
"The first report, compiling information on cargo flights that have arrived into Myanmar and Thailand for the response, has been finalized by the logistics cluster and made available on the cluster webpage:http://www.logcluster.org/mm08a/.",Safety
"Thankfully Pierre Ntsiete School, located half a mile from the blasts that launched hundreds of unexploded and unstable munitions across a 600,000m2 area, was closed for the weekend and its 5,000 pupils had a lucky escape.",Transport
Street lights not working in 8th main Sampige Layout  Govindaraja Nagar Ward,Electricity
Transport delay issue,Transport
"PM Bhattarai, who reached the district to inspect the flood affected areas as well as assess human casualty and damages to properties caused by the flood, also announced Rs 25,000 as emergency relief fund to those who have been rendered homeless after the flood swept their houses away.",Housing
Roadnof Potholes. Stretch from Bharat petrol to rashtrothana till decathlon hennur,Roads
Clear please,Sanitation
"We are trying to reach as many camps as possible to prevent disease outbreaks.""",Health
"During 2002, in addition to the regular SFP, there will be a mother and child nutrition component to cater for the malnourished pregnant and nursing mothers and pre-school children.",Health
no blackboard in classroom,Education
"Hi BBMP ,
Garbage collector is not comt in this area peoples are suffering alot ..hardly 3 to 4 days vehicle ar coming to this area.... please help us asap",Sanitation
I'm still so depressed I couldn't make it to @SWStheband and @piercetheveil Nov 1st. I was looking forward to it for months. Fuck you Sandy_,Health
stray dog biting people,Animal Control
#news Earthquake in Haiti Leaves Thousands Dead or Missing http bit.ly 68yi8u,Safety
"Houses have been completely buried under loess from a hillside. In Thailand schools based programmes were established to teach disaster preparedness to children, in Sri Lanka thousands of emergency-responders have been trained, in Indonesia radio networks were set up as early warning systems and mangrove planting projects were introduced to protect coastal communities from the sea to reduce the impact of coastal flooding. A 15 year old girl has been reported missing in the neighbouring Cao Bang province following a flash flood. The Met office said the city recorded 57mm rainfall till 8.30am on Friday, the fifth-highest in a decade. In Lahaul-Spiti, Kinnaur and Chamba districts, it triggered avalanches at many places and cut off many villages. Observation team member Arif Cahyo said Mt. Sinabung's tectonic quakes showed that a large volume of magma was present, indicating that the volcano would continue to erupt for a long time. Cyclones Eline and Gloria killed 150 people as rivers burst their banks, flooding homes and small farms and triggering mudslides. The local authorities have been provided to date with 45 pieces of heavy equipment and 116 operators in two crews, for clean-up operations in Banda Aceh, supported by UNDP. Two ferocious storms in March and April, with gale force winds, dust, snow and high wind chill, added to the difficulties, eventually leading to ten human deaths. The India Meteorological Department has predicted that with likely duststorm and thunderstorm activity over northwest India, day temperatures are likely to fall during the next two to three days. Since its creation in 2001, the Mechanism has been activated for disasters in Europe (like the forest fires in Portugal, floods in the Balkans in 2010 and explosion at a naval base in Cyprus in 2011) as well as worldwide, including after Hurricane Katrina, the Deepwater Horizon rig explosion, the earthquakes in Haiti and Japan. Famine Early Warning System (FEWS)/Somalia estimates losses of Gu'crops in traditional underground granaries due to floods and rain water seepage at 31,1000 tones. Approximately 1.9 million people have been affected in the past week by heavy torrential monsoon rains which flooded 195 blocks in 14 districts of the State of West Bengal. Rahim said the Pakistani government highly appreciates the goodwill of China, saying the donation is the first coming from abroad since Pakistan has been hit by continuous torrential rains and heavy snowfall in the past two weeks. Floods triggered by monsoon rains are affecting some 5.4 million people and displaced 1.8 million, according to the agency. At 08.50 hours on Friday, 26 January, a series of powerful earthquakes struck Gujarat state in western India, peaking at a massive 7.9 on the Richter scale, with tremors being felt across several states as well as in Delhi and Mumbai (Bombay) and in neighbouring Pakistan. The worst natural disaster in Myanmar in decades, the 10-hour storm packed winds up to 130 miles per hour. The Geological Survey Institute is the governmental agency within the Ministry of Energy and Mines that deals with various elements of geological survey and exploration. Second-season crops are progressing well, owing to good soil moisture and fertility conditions and mild temperatures.Maize and beans are in the late vegetative and maturing stages.This suggests that prospects for second-season harvest in July are excellent.In Zambezia Province, harvesting has already started, although the main harvest is expected in August. According to media reports, mudslides triggered by torrential rain on 13 August killed 17 people and injured 50 in Chittagong city, Aziz Nagar and Lama Thana of Bandarban District. Proved to be one of the most destructive typhoons in recent years, Typhoon Ketsana continued its path of destruction across Southeast Asia last week. A 1919 eruption spewed heat clouds that killed 5,160 people. In Japan and Chile, where earthquakes have caused untold damage in the past, hospitals are now built using base isolation"" techniques to absorb the shocks caused by temblors.",Transport
About to get hit by a hurricane Tuesday.. #what?,Environment
Riding without helmet,Sanitation
"When the tsunamis hit this particular train was derailed, resulting in the death of 1,700 people.",Transport
"Hi, We are Hungry, we need food, our house iare destroyed. Please where we can go to receive help",Housing
"Poor local people, having lost their little mud-and-thatch homes, lined main roads, raising their hands in mute appeals for help whenever an aid vehicle approached.",Transport
"With the rivers deltaic region under threat, reports of boat capsizing, walls collapsing and human and cattle drowning trickled in, raising the death toll to at least 21.",Environment
"Washing has been arranged in 16 washing stations in decontamination-shower trailers, in all, 12,020 people, including 589 children, have been washed, (over 24 hours - 3,204 people, including 69 children).Some 13,000 impoverished Afghan refugees stranded in a makeshift camp along the Pyandj Rive on the Tajik-Afghan border were the beneficiaries of a humanitarian aid shipment from Iran, AFP reported on Friday.",Water
"This is to inform you about the deplorable and unhygienic condition of the main road, Narayan Pillai Street.. opposite to St. Francis Xavier Church, Bharthi Nagar, Bangalore - 560001.
A lot of garbage is thrown on the main road, due to which lot of mosquitoes and flies are breeding...added to it are thousands of rats, who have made a colony of their own...
The stinking smell which becomes even more worst in rain, is another pain for all those residing around the garbage heap... effecting the children and elderly people..
Request you to kindly look into this and take necessary action at the earliest...
Hoping for immediate action from your end...
Yours faithfully,",Sanitation
water connection not approved,Municipal
"These innocent victims watched their relatives drown in flooded fields, the same fields they had sown the day before.",Transport
cockroach infestation in market,Animal Control
"When they withdrew, the rebels destroyed rice fields, grain storage facilities and fields, and looted houses.",Safety
"No street lights working in 1st main road , milk colony( near Columbia Asia hospital . )",Electricity
school building in bad condition,Education
dog bite near school,Animal Control
#Frankenstormapocalypse (@Times Square w/ 25 others) [pic]: http://t.co/WoNrTrw3,Environment
Please do put proper road and save people from this ridiculous pits and I really dont understand how BBMP people are able to sleep with such a horrible condition. Wake up at least now and please put thar road for this 300 meters,Roads
"So, while the disease is now spreading faster than efforts to contain it, ""we know what needs to be done and we are going to do it before this virus can cause more death and misery.""",Health
"The British are pulling out helicopters used for relief, although flood-swollen rivers are posing a fresh threat to several communities and have cut roads which had been rapidly repaired to enable aid to get through.",Transport
Road construction work was started in January 2020. Due to lockdown it was stopped and still not been completed. Kindly look into the issue. Residents finding it very difficult. Jus one road..,Roads
"Inspite of telling neighbours and bbmp numerous times, people throw garbage at this point. It has become a nuisance with filthy smell and dogs always surrounding the place. I request you to solve this problem soon.",Sanitation
UNICEF is strengthening the capacity of health centres and CRENIs throughout the Niger to prevent and treat malnutrition among children and to cope with the increasing number of admissions from refugee camps.,Health
"Other aid provided by ADRA in Sri Lanka includes 200,000 one-liter bottles of drinking water and 50,000 water purification tablets, infant formula for 1,000 affected children under one year of age, and a team of medical specialists.",Water
The place is turnt into a garbage dumping area. This needs to be cleared. It smells a lot and is a very unhealthy society to live in.,Sanitation
Residents had spent the night outside their houses fearing aftershocks.,Housing
No parking,Roads
